"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"BofA Checkings","","10/29/2020","Transfer : Ally Savings","","","","",$1000.00,$0.00,"Uncleared"
"BofA Checkings","","10/29/2020","Apple","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$6.34,"Uncleared"
"Ally Savings","","10/29/2020","Transfer : BofA Checkings","","","","",$0.00,$1000.00,"Uncleared"
"Amex Gold","","10/28/2020","Pho Hoan Pasteur","Just for Fun: Dining Out","Just for Fun","Dining Out","",$23.15,$0.00,"Uncleared"
"Chase Checkings","","10/27/2020","Allure","Immediate Obligations: Water/Trash","Immediate Obligations","Water/Trash","Split (1/2) ",$54.02,$0.00,"Cleared"
"Chase Checkings","","10/27/2020","Allure","Immediate Obligations: Rent/Mortgage","Immediate Obligations","Rent/Mortgage","Split (2/2) ",$1789.00,$0.00,"Cleared"
"Apple Card","","10/27/2020","Apple","Quality of Life Goals: Computer Replacement","Quality of Life Goals","Computer Replacement","",$41.58,$0.00,"Reconciled"
"BofA Checkings","","10/26/2020","Transfer : BofA Cash Rewards","","","","",$157.38,$0.00,"Reconciled"
"BofA Cash Rewards","","10/26/2020","Transfer : BofA Checkings","","","","",$0.00,$157.38,"Reconciled"
"Chase Checkings","","10/26/2020","The Chicken Rice","Just for Fun: Dining Out","Just for Fun","Dining Out","Split (1/10) ",$0.00,$23.20,"Cleared"
"Chase Checkings","","10/26/2020","Bay Poke","Just for Fun: Dining Out","Just for Fun","Dining Out","Split (2/10) ",$0.00,$6.80,"Cleared"
"Chase Checkings","","10/26/2020","The Chicken Rice","Just for Fun: Dining Out","Just for Fun","Dining Out","Split (3/10) ",$0.00,$22.20,"Cleared"
"Chase Checkings","","10/26/2020","Target","Just for Fun: Fun Money","Just for Fun","Fun Money","Split (4/10) ",$0.00,$16.63,"Cleared"
"Chase Checkings","","10/26/2020","Urban Seoul","Just for Fun: Dining Out","Just for Fun","Dining Out","Split (5/10) ",$0.00,$19.74,"Cleared"
"Chase Checkings","","10/26/2020","Ralphs","Immediate Obligations: Groceries","Immediate Obligations","Groceries","Split (6/10) ",$0.00,$0.00,"Cleared"
"Chase Checkings","","10/26/2020","Oliboli Donuts","Just for Fun: Dining Out","Just for Fun","Dining Out","Split (7/10) ",$0.00,$13.37,"Cleared"
"Chase Checkings","","10/26/2020","Trader Joes","Immediate Obligations: Groceries","Immediate Obligations","Groceries","Split (8/10) ",$0.00,$30.28,"Cleared"
"Chase Checkings","","10/26/2020","Amazon","True Expenses: Home Maintenance","True Expenses","Home Maintenance","Split (9/10) ",$0.00,$10.80,"Cleared"
"Chase Checkings","","10/26/2020","Allure","Immediate Obligations: Rent/Mortgage","Immediate Obligations","Rent/Mortgage","Split (10/10) ",$0.00,$456.98,"Cleared"
"Apple Card","","10/25/2020","Apple","Quality of Life Goals: Computer Replacement","Quality of Life Goals","Computer Replacement","",$140.62,$0.00,"Reconciled"
"Amex Gold","","10/25/2020","Amazon","True Expenses: Home Maintenance","True Expenses","Home Maintenance","",$35.99,$0.00,"Cleared"
"Amex Gold","","10/25/2020","Amazon","Just for Fun: Clothing","Just for Fun","Clothing","",$6.97,$0.00,"Cleared"
"Amex Gold","","10/25/2020","Ralphs","True Expenses: Auto Maintenance","True Expenses","Auto Maintenance","",$1.99,$0.00,"Uncleared"
"Amex Gold","","10/25/2020","Ralphs","True Expenses: Auto Maintenance","True Expenses","Auto Maintenance","",$0.99,$0.00,"Cleared"
"Chase Checkings","","10/25/2020","Promenade Software","True Expenses: Work: to be reimbursed","True Expenses","Work: to be reimbursed","Trip #3",$0.00,$986.27,"Cleared"
"BofA Checkings","","10/25/2020","Promenade Software","True Expenses: Work: to be reimbursed","True Expenses","Work: to be reimbursed","Trip #2",$0.00,$987.03,"Reconciled"
"Amex Gold","","10/24/2020","Trader Joes","Immediate Obligations: Groceries","Immediate Obligations","Groceries","",$60.57,$0.00,"Cleared"
"Chase Sapphire Reserve","","10/24/2020","Ralphs Gas","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$38.65,$0.00,"Reconciled"
